left_shoulder_x,left_shoulder_y,left_shoulder_z,left_shoulder_vis,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_shoulder_vis,left_elbow_x,left_elbow_y,left_elbow_z,left_elbow_vis,right_elbow_x,right_elbow_y,right_elbow_z,right_elbow_vis,left_wrist_x,left_wrist_y,left_wrist_z,left_wrist_vis,right_wrist_x,right_wrist_y,right_wrist_z,right_wrist_vis,left_hip_x,left_hip_y,left_hip_z,left_hip_vis,right_hip_x,right_hip_y,right_hip_z,right_hip_vis,left_knee_x,left_knee_y,left_knee_z,left_knee_vis,right_knee_x,right_knee_y,right_knee_z,right_knee_vis,left_ankle_x,left_ankle_y,left_ankle_z,left_ankle_vis,right_ankle_x,right_ankle_y,right_ankle_z,right_ankle_vis,left_heel_x,left_heel_y,left_heel_z,left_heel_vis,right_heel_x,right_heel_y,right_heel_z,right_heel_vis,left_foot_index_x,left_foot_index_y,left_foot_index_z,left_foot_index_vis,right_foot_index_x,right_foot_index_y,right_foot_index_z,right_foot_index_vis
0.528548,0.381921,0.059169,0.999858,0.437957,0.381,0.058945,0.999776,0.535782,0.468046,0.01207,0.860325,0.428157,0.472353,0.018807,0.905074,0.54113,0.502004,-0.196461,0.862112,0.420095,0.492472,-0.162018,0.871288,0.511151,0.569425,0.004862,0.999344,0.457912,0.565015,-0.00475,0.999457,0.512173,0.725067,-0.025463,0.960695,0.451829,0.718337,-0.037765,0.967766,0.511744,0.86079,0.118257,0.948871,0.444754,0.865477,0.103189,0.953738,0.50522,0.874829,0.124596,0.674018,0.449716,0.883319,0.108883,0.591397,0.521555,0.901242,-0.017619,0.930586,0.433981,0.907763,-0.037263,0.928722
0.526159,0.379243,0.101213,0.999875,0.439207,0.379272,0.087494,0.99969,0.535224,0.473499,-0.000969,0.845825,0.425242,0.468761,-0.009356,0.873176,0.5426,0.44728,-0.218751,0.875939,0.426426,0.416506,-0.220598,0.854014,0.510044,0.565009,0.00688,0.999399,0.457428,0.563625,-0.006698,0.999417,0.512283,0.724862,-0.022106,0.962371,0.451886,0.717715,-0.039227,0.968347,0.511879,0.859926,0.117165,0.948437,0.444865,0.864679,0.097484,0.954816,0.505295,0.874074,0.123555,0.685421,0.447385,0.882487,0.104167,0.604655,0.5229,0.901202,-0.010936,0.927125,0.432548,0.908434,-0.034292,0.929407
0.524707,0.380364,0.094804,0.999869,0.439381,0.378512,0.097059,0.999617,0.528804,0.479863,-0.033725,0.867985,0.427074,0.474377,-0.049509,0.858074,0.537645,0.402015,-0.217134,0.910645,0.436361,0.39802,-0.247878,0.874168,0.509835,0.562177,0.006342,0.999449,0.457306,0.561829,-0.006208,0.99942,0.51303,0.726111,-0.008547,0.95659,0.452088,0.718216,-0.0298,0.958252,0.512182,0.860765,0.119244,0.93656,0.443919,0.866385,0.105983,0.941788,0.505746,0.875735,0.125929,0.648032,0.441992,0.884374,0.112854,0.573646,0.522316,0.901809,-0.001391,0.910803,0.43028,0.916469,-0.018644,0.913068
0.522129,0.377465,0.069506,0.999726,0.441065,0.376461,0.081928,0.999442,0.529476,0.479559,-0.082438,0.888741,0.426916,0.473767,-0.056657,0.866059,0.526382,0.388553,-0.271457,0.931319,0.441253,0.389844,-0.263773,0.896933,0.509714,0.566115,-0.002673,0.999385,0.458107,0.56501,0.002816,0.999367,0.51215,0.728834,-0.006728,0.934016,0.45197,0.719404,-0.019118,0.934245,0.511799,0.863483,0.113095,0.903222,0.442357,0.870684,0.117071,0.912685,0.50533,0.879482,0.118892,0.580938,0.440229,0.890066,0.124337,0.530111,0.520907,0.901074,-0.009657,0.875386,0.424313,0.90867,-0.010516,0.878238
0.521461,0.377127,0.07114,0.999526,0.44122,0.375878,0.081629,0.9992,0.530644,0.478756,-0.076406,0.90057,0.427238,0.471926,-0.05171,0.866781,0.522528,0.390194,-0.253763,0.941281,0.443578,0.390052,-0.247795,0.906979,0.509581,0.568502,-0.001534,0.999303,0.458134,0.567018,0.001694,0.999294,0.511388,0.730897,-0.003806,0.920719,0.451937,0.721809,-0.020549,0.921738,0.510952,0.86411,0.140317,0.882228,0.441043,0.873106,0.130193,0.894714,0.505406,0.879669,0.149388,0.540616,0.441921,0.891611,0.138699,0.498767,0.519939,0.900867,0.019403,0.851271,0.4276,0.907879,0.00304,0.853913
0.521133,0.378138,0.101809,0.999525,0.440707,0.375737,0.079948,0.999178,0.529696,0.479688,-0.029533,0.904715,0.428114,0.472302,-0.052904,0.865177,0.528149,0.393586,-0.210329,0.950038,0.442998,0.394183,-0.244149,0.913514,0.509617,0.567457,0.005596,0.999327,0.457966,0.566551,-0.005426,0.999301,0.511327,0.729872,-0.004013,0.921325,0.451737,0.721083,-0.021851,0.91961,0.510871,0.864185,0.131414,0.882719,0.441955,0.870819,0.127473,0.894587,0.505056,0.878879,0.138191,0.541129,0.442724,0.888001,0.13556,0.497345,0.518774,0.900932,0.012938,0.852082,0.428894,0.905569,-0.000329,0.854416
0.523588,0.378593,0.086242,0.99963,0.440249,0.377745,0.076051,0.999295,0.530479,0.474699,-0.023571,0.890261,0.42752,0.471234,-0.030479,0.866117,0.54367,0.438786,-0.261624,0.952358,0.432742,0.415154,-0.254334,0.916054,0.509523,0.565508,0.00821,0.999367,0.457385,0.564792,-0.00806,0.99932,0.512644,0.727536,-0.015603,0.929768,0.451767,0.72018,-0.035882,0.929245,0.51225,0.861918,0.117781,0.893994,0.442658,0.869042,0.100327,0.906051,0.506096,0.877035,0.123845,0.567466,0.443927,0.886045,0.106167,0.51774,0.523114,0.900695,-0.012849,0.86298,0.426677,0.909329,-0.039097,0.868473
0.525627,0.379725,0.072993,0.999722,0.439116,0.380423,0.065616,0.999374,0.535513,0.468921,0.02453,0.856985,0.425574,0.473649,0.026853,0.818568,0.544802,0.50608,-0.163092,0.923389,0.412282,0.49513,-0.212537,0.857745,0.50982,0.567096,0.006666,0.999435,0.457466,0.564772,-0.006507,0.999374,0.512986,0.727257,-0.024257,0.942382,0.45145,0.720919,-0.040321,0.94309,0.512762,0.862588,0.103595,0.913495,0.441863,0.869629,0.085261,0.923837,0.506474,0.878257,0.106808,0.61117,0.442305,0.885338,0.088808,0.547236,0.525653,0.901725,-0.035279,0.884029,0.426031,0.911967,-0.056915,0.889227
0.527012,0.381319,0.018752,0.999756,0.437921,0.380804,0.004808,0.999505,0.535184,0.469417,0.055176,0.858084,0.426163,0.469466,0.023818,0.850379,0.544075,0.539067,-0.057383,0.895142,0.418741,0.538306,-0.088114,0.85748,0.510205,0.568016,0.005473,0.999353,0.457411,0.564473,-0.005383,0.999362,0.51235,0.726452,-0.027322,0.950524,0.451395,0.719176,-0.040161,0.952707,0.512595,0.861314,0.097583,0.929186,0.442578,0.863776,0.082244,0.936449,0.506301,0.875882,0.101748,0.639336,0.444908,0.881617,0.085842,0.571019,0.523385,0.901517,-0.037744,0.903933,0.428314,0.908617,-0.056413,0.906658
0.527744,0.381651,-0.033316,0.999779,0.437482,0.38036,-0.053083,0.999647,0.535364,0.471643,0.018204,0.873189,0.425941,0.469483,-0.021911,0.893532,0.543754,0.545415,-0.087623,0.882785,0.419901,0.546997,-0.108887,0.887308,0.510338,0.568274,0.005311,0.999276,0.457234,0.56452,-0.005263,0.999388,0.512214,0.726017,-0.029193,0.953812,0.451524,0.718992,-0.039298,0.959634,0.512165,0.861305,0.119424,0.93672,0.442692,0.863963,0.102981,0.943313,0.505577,0.875697,0.125991,0.64706,0.444925,0.882372,0.108983,0.581117,0.521486,0.901416,-0.01849,0.914058,0.431711,0.906427,-0.039987,0.916301
0.528062,0.381602,0.056943,0.999802,0.437276,0.380407,0.035828,0.999718,0.535339,0.46812,0.05863,0.866976,0.4267,0.464851,0.024151,0.91152,0.543533,0.525345,-0.09026,0.869898,0.420278,0.521512,-0.138889,0.896034,0.510769,0.568709,0.005736,0.999271,0.457562,0.564453,-0.005628,0.999405,0.512198,0.725637,-0.028854,0.957121,0.451523,0.718526,-0.045321,0.963333,0.512362,0.861069,0.100789,0.942023,0.443212,0.864107,0.082871,0.947612,0.505644,0.874892,0.105754,0.657656,0.441212,0.880493,0.087089,0.588674,0.521941,0.901348,-0.034387,0.920821,0.431388,0.904919,-0.057937,0.922056
0.526574,0.381427,0.076499,0.999835,0.437907,0.380796,0.075896,0.999671,0.535819,0.474576,-0.006671,0.837936,0.425008,0.471805,0.036921,0.859633,0.544287,0.464857,-0.239754,0.857079,0.421731,0.452376,-0.173014,0.835631,0.509845,0.565884,0.006348,0.999336,0.457446,0.563941,-0.006143,0.999379,0.512525,0.724728,-0.020662,0.960098,0.451811,0.718157,-0.036136,0.965621,0.512602,0.860188,0.124686,0.946932,0.445967,0.862428,0.109891,0.951924,0.50596,0.874274,0.13088,0.682657,0.44898,0.880607,0.116365,0.604635,0.523124,0.901039,-0.012217,0.92515,0.433456,0.903866,-0.0307,0.926474
0.525521,0.381155,0.086476,0.999834,0.43993,0.380656,0.083443,0.999575,0.529971,0.477288,-0.05756,0.857978,0.42604,0.47241,-0.050044,0.849228,0.541905,0.395173,-0.256436,0.895408,0.437171,0.400927,-0.256869,0.858455,0.50954,0.564209,0.004533,0.999384,0.457213,0.562982,-0.004343,0.999374,0.51293,0.72653,-0.012876,0.957223,0.451801,0.719431,-0.029278,0.961053,0.512833,0.860188,0.108413,0.939925,0.443629,0.868194,0.100823,0.945865,0.5065,0.874839,0.114957,0.660843,0.444763,0.887901,0.107207,0.590278,0.522793,0.902221,-0.010749,0.914753,0.430319,0.907821,-0.026063,0.917954
0.522261,0.377946,0.077024,0.999729,0.441432,0.374485,0.08546,0.999462,0.530615,0.477812,-0.084698,0.88298,0.426126,0.470365,-0.054603,0.860181,0.529933,0.389123,-0.285243,0.922089,0.438836,0.388937,-0.269159,0.887904,0.509598,0.563245,-0.002336,0.99936,0.457876,0.56327,0.002477,0.999355,0.512881,0.727799,-0.01308,0.94075,0.451834,0.718279,-0.02169,0.939224,0.512669,0.861578,0.116727,0.911987,0.442336,0.869239,0.115555,0.922177,0.50737,0.876279,0.123594,0.594493,0.444062,0.889387,0.122735,0.549662,0.521142,0.901319,-0.004441,0.884354,0.42948,0.914677,-0.010636,0.889105
0.520871,0.376719,0.078184,0.999559,0.442296,0.374018,0.085224,0.999201,0.532394,0.474141,-0.081426,0.899127,0.426205,0.464246,-0.057516,0.858876,0.5256,0.38597,-0.275344,0.936798,0.441366,0.385057,-0.252121,0.897445,0.509606,0.56388,-0.000979,0.999301,0.458219,0.56274,0.001086,0.9993,0.512585,0.72799,-0.010963,0.930664,0.452039,0.717784,-0.025224,0.926829,0.512765,0.861998,0.119682,0.894577,0.441465,0.870697,0.107419,0.906232,0.50783,0.876545,0.126828,0.541972,0.440935,0.891106,0.114131,0.513078,0.52133,0.900605,-0.003189,0.863281,0.427177,0.916491,-0.020959,0.867801
0.520755,0.377449,0.100769,0.999572,0.441787,0.37467,0.101262,0.999145,0.532233,0.475775,-0.036478,0.912149,0.426685,0.467196,-0.026059,0.843222,0.526576,0.390628,-0.210296,0.949705,0.439191,0.394939,-0.217876,0.897444,0.509524,0.563115,-0.001182,0.999345,0.458389,0.562183,0.001366,0.999314,0.5128,0.729648,-0.021895,0.92567,0.452224,0.719698,-0.029994,0.918815,0.512868,0.862918,0.104165,0.885571,0.442586,0.872384,0.102061,0.898176,0.50783,0.879535,0.111138,0.517965,0.44387,0.891829,0.108295,0.499797,0.521993,0.901221,-0.016018,0.852161,0.430897,0.918945,-0.023471,0.855862
0.525228,0.38015,0.10357,0.999669,0.441197,0.378285,0.107592,0.999236,0.530059,0.478799,-0.006878,0.912121,0.425287,0.469386,0.014301,0.826137,0.540983,0.433281,-0.217735,0.958659,0.431243,0.415807,-0.188646,0.886949,0.509531,0.563767,0.004085,0.999422,0.457976,0.562559,-0.003915,0.999361,0.513039,0.728986,-0.020611,0.935906,0.452143,0.720165,-0.038018,0.930285,0.512759,0.861595,0.118727,0.900807,0.443099,0.870005,0.095173,0.91207,0.507453,0.877,0.125154,0.558892,0.444762,0.888077,0.100777,0.527434,0.523305,0.901022,-0.005129,0.867995,0.432049,0.915873,-0.037221,0.872604
0.526516,0.380922,0.067636,0.999753,0.439941,0.38189,0.05855,0.99941,0.534713,0.472901,0.041424,0.870522,0.426715,0.473827,0.055598,0.806713,0.544963,0.503462,-0.1349,0.929317,0.416803,0.512678,-0.118134,0.852262,0.509856,0.56597,0.005331,0.999495,0.457946,0.562911,-0.005145,0.999447,0.512993,0.726087,-0.028824,0.948268,0.45218,0.719023,-0.041302,0.945954,0.51252,0.861196,0.100336,0.920727,0.443131,0.865842,0.081994,0.930278,0.506437,0.875632,0.103909,0.613251,0.446998,0.882778,0.085317,0.563462,0.523069,0.900108,-0.03928,0.891903,0.433223,0.907454,-0.061531,0.896157
0.527963,0.382261,-0.032358,0.999774,0.439536,0.381545,-0.040618,0.99958,0.535367,0.471557,0.022624,0.867059,0.426637,0.46993,0.006544,0.857985,0.543971,0.54163,-0.108695,0.899629,0.420389,0.548166,-0.08975,0.877422,0.510283,0.56834,0.003659,0.999408,0.457395,0.563814,-0.003567,0.999476,0.512652,0.726144,-0.032268,0.952354,0.451939,0.718915,-0.0427,0.95532,0.5123,0.861766,0.094751,0.931172,0.440974,0.868111,0.077281,0.940027,0.505831,0.876465,0.098527,0.627286,0.438375,0.885,0.080445,0.580752,0.521939,0.901366,-0.038923,0.905731,0.429248,0.918045,-0.058517,0.909805
0.528406,0.382802,-0.0093,0.999793,0.439151,0.381422,-0.023197,0.999695,0.535505,0.473106,0.029632,0.875845,0.425921,0.469564,-0.000148,0.896716,0.543661,0.546047,-0.081057,0.88858,0.420594,0.545429,-0.089454,0.897381,0.510478,0.568422,0.004524,0.999326,0.457366,0.563759,-0.004488,0.999486,0.512552,0.725626,-0.026698,0.957148,0.452183,0.718887,-0.041606,0.96327,0.512726,0.861565,0.098319,0.94194,0.441898,0.8688,0.076351,0.949506,0.50633,0.87569,0.102007,0.653955,0.44048,0.885263,0.079815,0.600598,0.522209,0.901669,-0.038485,0.919954,0.431082,0.915758,-0.063664,0.922768
0.528524,0.383211,0.048208,0.999815,0.438624,0.38207,0.034415,0.999743,0.535444,0.469956,0.037687,0.876528,0.426699,0.469268,0.013872,0.906031,0.543272,0.53244,-0.12422,0.883741,0.42043,0.520894,-0.178983,0.895399,0.510498,0.568844,0.004746,0.999336,0.457423,0.564063,-0.004662,0.999499,0.512375,0.725106,-0.01841,0.960909,0.452023,0.718285,-0.041175,0.967367,0.512523,0.86088,0.099129,0.948947,0.442417,0.868716,0.076784,0.955058,0.506118,0.875446,0.103083,0.67533,0.445892,0.88564,0.080379,0.61272,0.522262,0.901852,-0.035741,0.929366,0.43023,0.910895,-0.06175,0.930279
0.527054,0.382166,0.092155,0.999854,0.439051,0.382606,0.093552,0.999685,0.534657,0.475196,0.017227,0.854564,0.424922,0.472975,0.037212,0.856863,0.543339,0.468549,-0.205623,0.886136,0.422388,0.456283,-0.168274,0.846112,0.510162,0.565642,0.007377,0.999423,0.457395,0.562753,-0.007221,0.999485,0.51266,0.724454,-0.014586,0.964773,0.452328,0.716889,-0.038679,0.969632,0.512625,0.859662,0.128443,0.953779,0.444099,0.864781,0.106554,0.958716,0.506091,0.874886,0.134907,0.701036,0.448185,0.882963,0.112793,0.621691,0.52307,0.901261,-0.005851,0.933024,0.43051,0.907007,-0.03428,0.933778
0.525728,0.382894,0.112174,0.999872,0.439645,0.382459,0.107888,0.999649,0.529238,0.479185,-0.044954,0.871319,0.426493,0.474565,-0.015364,0.84615,0.540804,0.403241,-0.233146,0.917247,0.434321,0.405697,-0.212647,0.868237,0.510013,0.563387,0.004307,0.999505,0.457477,0.561572,-0.00421,0.999505,0.513166,0.726348,-0.021926,0.964575,0.452208,0.71944,-0.033237,0.966806,0.512728,0.860216,0.11232,0.94919,0.443472,0.8679,0.098555,0.953719,0.506385,0.876834,0.119811,0.676442,0.444772,0.886856,0.105661,0.599592,0.521713,0.90219,-0.005723,0.925452,0.439046,0.922011,-0.021517,0.926831
0.522729,0.380421,0.08545,0.999751,0.441403,0.380035,0.099191,0.999441,0.529637,0.479658,-0.06363,0.89282,0.427005,0.47231,-0.032086,0.849028,0.528825,0.387255,-0.236774,0.936884,0.439389,0.388066,-0.242927,0.887195,0.510163,0.564919,0.001464,0.999469,0.458016,0.56421,-0.001363,0.999448,0.513373,0.72871,-0.012468,0.948838,0.452228,0.720875,-0.025712,0.947861,0.513029,0.861908,0.128769,0.919985,0.445442,0.869543,0.11323,0.929454,0.507557,0.878016,0.136166,0.60173,0.44395,0.888073,0.120607,0.551749,0.521703,0.901417,0.007551,0.891779,0.434893,0.921726,-0.010105,0.895637
0.521681,0.377963,0.074985,0.999594,0.442926,0.378676,0.082253,0.999266,0.531202,0.475861,-0.07474,0.905553,0.4269,0.468028,-0.05416,0.859923,0.526942,0.388772,-0.256175,0.94671,0.44177,0.383267,-0.238722,0.903538,0.510168,0.565308,-0.003523,0.99939,0.458568,0.564264,0.003559,0.99939,0.51324,0.728847,-0.011625,0.935618,0.452408,0.720954,-0.022571,0.933073,0.513071,0.862118,0.116824,0.900367,0.442593,0.868754,0.112371,0.911352,0.507556,0.877519,0.12368,0.543636,0.441195,0.890449,0.119146,0.514174,0.521084,0.901292,-0.004446,0.869003,0.429136,0.909907,-0.012728,0.873577
0.521222,0.377816,0.075685,0.999522,0.442553,0.378616,0.072277,0.999136,0.531299,0.477532,-0.062929,0.913256,0.427174,0.470928,-0.058311,0.856939,0.527078,0.389837,-0.244013,0.953791,0.441191,0.398607,-0.253338,0.906324,0.510169,0.565699,0.002646,0.999351,0.458716,0.564809,-0.002534,0.999351,0.512925,0.728202,0.000328,0.931915,0.452638,0.719569,-0.02203,0.927864,0.512781,0.861724,0.13407,0.897588,0.443415,0.867598,0.120172,0.908292,0.506418,0.876247,0.141211,0.542725,0.444018,0.884818,0.127476,0.51123,0.521433,0.900289,0.011335,0.866886,0.429163,0.904069,-0.006804,0.870464
0.523745,0.382013,0.104976,0.999618,0.440977,0.381287,0.109382,0.999254,0.529027,0.48006,-0.031468,0.91328,0.427281,0.47427,-0.008275,0.84903,0.539403,0.412786,-0.228796,0.961049,0.43179,0.409061,-0.216447,0.906093,0.509821,0.564495,0.005306,0.999426,0.457934,0.563991,-0.005187,0.999407,0.513137,0.728648,-0.020526,0.939834,0.452022,0.720276,-0.037055,0.936516,0.5128,0.861701,0.113921,0.908356,0.442349,0.87065,0.092166,0.91853,0.506887,0.877699,0.120877,0.567579,0.443645,0.888991,0.098038,0.528256,0.52171,0.901548,-0.006128,0.877702,0.435869,0.922423,-0.036498,0.882412
