left_shoulder_x,left_shoulder_y,left_shoulder_z,left_shoulder_vis,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_shoulder_vis,left_elbow_x,left_elbow_y,left_elbow_z,left_elbow_vis,right_elbow_x,right_elbow_y,right_elbow_z,right_elbow_vis,left_wrist_x,left_wrist_y,left_wrist_z,left_wrist_vis,right_wrist_x,right_wrist_y,right_wrist_z,right_wrist_vis,left_hip_x,left_hip_y,left_hip_z,left_hip_vis,right_hip_x,right_hip_y,right_hip_z,right_hip_vis,left_knee_x,left_knee_y,left_knee_z,left_knee_vis,right_knee_x,right_knee_y,right_knee_z,right_knee_vis,left_ankle_x,left_ankle_y,left_ankle_z,left_ankle_vis,right_ankle_x,right_ankle_y,right_ankle_z,right_ankle_vis,left_heel_x,left_heel_y,left_heel_z,left_heel_vis,right_heel_x,right_heel_y,right_heel_z,right_heel_vis,left_foot_index_x,left_foot_index_y,left_foot_index_z,left_foot_index_vis,right_foot_index_x,right_foot_index_y,right_foot_index_z,right_foot_index_vis
0.516375,0.430593,-0.140007,0.999929,0.493063,0.437419,0.149284,0.99905,0.505063,0.452181,-0.355074,0.990409,0.491168,0.499892,0.309572,0.132873,0.495827,0.393144,-0.532471,0.984769,0.487134,0.532647,0.42388,0.22392,0.504523,0.592471,-0.096829,0.999665,0.500069,0.592809,0.096754,0.998614,0.489747,0.718315,-0.104082,0.798366,0.49783,0.709442,0.100504,0.310641,0.498393,0.856658,-0.103061,0.921141,0.507538,0.824451,0.132508,0.450098,0.509823,0.876011,-0.104683,0.918925,0.516015,0.848372,0.132918,0.607775,0.467781,0.871367,-0.17608,0.934864,0.479838,0.852807,0.08363,0.60216
0.511169,0.429098,-0.150437,0.999825,0.499071,0.436865,0.138766,0.997564,0.495561,0.382619,-0.276924,0.98564,0.490685,0.433774,0.302765,0.09655,0.497046,0.377194,-0.291419,0.941137,0.484329,0.396825,0.406375,0.168586,0.504105,0.593743,-0.098611,0.999651,0.502442,0.593916,0.098578,0.998529,0.489601,0.723133,-0.106177,0.786967,0.497745,0.717078,0.099323,0.273668,0.497629,0.855952,-0.103804,0.922248,0.506204,0.827425,0.11487,0.423707,0.508623,0.877026,-0.104333,0.930155,0.513266,0.854049,0.113902,0.589929,0.467321,0.871823,-0.156311,0.935647,0.478989,0.855799,0.07841,0.5801
0.512829,0.422528,-0.151702,0.99958,0.499971,0.432751,0.126879,0.995286,0.505047,0.382259,-0.328239,0.979183,0.489124,0.416281,0.306016,0.073291,0.496316,0.346049,-0.397374,0.844811,0.488714,0.397171,0.446347,0.121581,0.503125,0.59361,-0.096526,0.99962,0.500584,0.593251,0.096452,0.998518,0.489537,0.723022,-0.100969,0.783933,0.498326,0.714517,0.096578,0.258053,0.496583,0.854782,-0.098177,0.924219,0.503824,0.827284,0.115325,0.420642,0.508395,0.876595,-0.098206,0.936541,0.513366,0.851799,0.114956,0.584174,0.467219,0.873508,-0.148327,0.93547,0.476755,0.860237,0.085371,0.574399
0.518649,0.420428,-0.131836,0.999587,0.499884,0.4315,0.154117,0.995748,0.501102,0.365753,-0.208583,0.98193,0.489227,0.392685,0.290435,0.072794,0.49056,0.308659,-0.162065,0.868507,0.486236,0.338794,0.366665,0.113469,0.503042,0.590674,-0.097366,0.999637,0.495823,0.5909,0.097324,0.998622,0.489102,0.722939,-0.110175,0.784799,0.496835,0.714276,0.089735,0.253953,0.497097,0.85315,-0.108149,0.917633,0.50345,0.827617,0.102428,0.408136,0.510497,0.876585,-0.109357,0.93222,0.515689,0.851124,0.101186,0.582794,0.467338,0.874841,-0.174752,0.929903,0.476797,0.859154,0.058569,0.564916
0.52199,0.417847,-0.141393,0.999593,0.500561,0.430511,0.162158,0.995809,0.502393,0.339489,-0.23713,0.986405,0.482737,0.374002,0.305379,0.079806,0.487241,0.272268,-0.194933,0.893986,0.464641,0.319466,0.346287,0.11545,0.503184,0.590061,-0.10233,0.999533,0.493759,0.591249,0.102242,0.99841,0.489334,0.730095,-0.10363,0.805839,0.494681,0.72086,0.103072,0.25445,0.500006,0.859468,-0.093361,0.911399,0.504046,0.838247,0.132697,0.381596,0.512206,0.881668,-0.093574,0.931268,0.515349,0.858864,0.133327,0.575152,0.466756,0.877976,-0.167019,0.923804,0.473623,0.863449,0.083448,0.543484
0.523333,0.416773,-0.15471,0.999361,0.500407,0.428887,0.149714,0.993756,0.504005,0.335688,-0.246983,0.989605,0.480697,0.358238,0.249504,0.093604,0.486562,0.260824,-0.23014,0.9182,0.459176,0.301856,0.249131,0.135803,0.503752,0.593856,-0.102998,0.999244,0.491395,0.593608,0.102853,0.997514,0.489899,0.730411,-0.092869,0.837842,0.490075,0.720667,0.115184,0.276688,0.500558,0.860967,-0.068702,0.914536,0.501925,0.836405,0.15992,0.376088,0.513582,0.882044,-0.069116,0.933239,0.513549,0.859181,0.161716,0.576222,0.466889,0.878768,-0.15448,0.923649,0.472834,0.863292,0.110824,0.544724
0.523763,0.418841,-0.145519,0.999153,0.498694,0.43027,0.163119,0.992679,0.508712,0.338342,-0.202854,0.991001,0.481339,0.365536,0.315072,0.098075,0.491999,0.269461,-0.122547,0.922,0.472328,0.315446,0.379653,0.133775,0.50392,0.594904,-0.105814,0.99887,0.490695,0.59524,0.10571,0.99673,0.489888,0.731594,-0.107338,0.864197,0.489333,0.722178,0.102795,0.324822,0.500634,0.861871,-0.085319,0.918432,0.501686,0.836986,0.136049,0.405032,0.513971,0.882741,-0.085239,0.934174,0.513254,0.860191,0.136397,0.600042,0.466912,0.879925,-0.16795,0.924328,0.472696,0.866463,0.079134,0.568126
0.523659,0.421325,-0.094666,0.999282,0.496462,0.43885,0.171964,0.992519,0.516959,0.35804,-0.151781,0.991571,0.483838,0.481781,0.303293,0.092552,0.503591,0.309964,-0.048003,0.923249,0.47918,0.507148,0.322999,0.118808,0.504275,0.59232,-0.098826,0.999076,0.491594,0.593721,0.098782,0.997295,0.490222,0.725573,-0.139417,0.882054,0.490455,0.716766,0.07858,0.347154,0.500782,0.859275,-0.138858,0.926022,0.5025,0.834483,0.092822,0.458111,0.513603,0.881564,-0.140718,0.932301,0.513387,0.85613,0.091388,0.630794,0.467203,0.879494,-0.213492,0.92845,0.473399,0.863619,0.042016,0.605851
0.519361,0.42499,-0.112579,0.999337,0.495017,0.443688,0.119462,0.991163,0.524181,0.381139,-0.160849,0.98915,0.489034,0.46873,0.233937,0.071522,0.511828,0.366016,-0.062758,0.879305,0.484656,0.435546,0.257415,0.092384,0.504164,0.594242,-0.090682,0.999275,0.49312,0.595805,0.0906,0.99775,0.490376,0.725911,-0.116883,0.891897,0.492478,0.716363,0.095366,0.337623,0.500391,0.856317,-0.124043,0.935657,0.501982,0.832227,0.126731,0.501148,0.512988,0.878501,-0.124003,0.939255,0.513724,0.856711,0.126847,0.65292,0.468111,0.87753,-0.178203,0.936763,0.473984,0.861218,0.094062,0.643592
0.519446,0.431744,-0.134156,0.999496,0.494426,0.443289,0.137176,0.993226,0.520146,0.434069,-0.331415,0.988749,0.495106,0.496841,0.303406,0.05262,0.512715,0.385095,-0.481763,0.897273,0.495365,0.52999,0.410012,0.069528,0.50392,0.595976,-0.093416,0.999388,0.494427,0.596937,0.093344,0.997974,0.490574,0.726355,-0.112321,0.866655,0.492822,0.717628,0.091305,0.314322,0.499452,0.85577,-0.099566,0.923932,0.501004,0.832858,0.124482,0.485526,0.512078,0.877788,-0.099609,0.936357,0.514367,0.858266,0.124671,0.650122,0.467798,0.877222,-0.167362,0.929561,0.474376,0.860977,0.07098,0.629421
0.519121,0.433303,-0.146177,0.999595,0.49453,0.444013,0.138182,0.994444,0.518895,0.432539,-0.37754,0.988613,0.495997,0.494774,0.324241,0.040254,0.513921,0.384171,-0.555172,0.918355,0.49566,0.51931,0.476728,0.055838,0.503816,0.598461,-0.095161,0.999439,0.495855,0.599057,0.095155,0.998042,0.490355,0.728799,-0.108718,0.839833,0.49331,0.719309,0.091883,0.296127,0.499263,0.855698,-0.093612,0.913853,0.50198,0.834044,0.126882,0.464187,0.511833,0.87739,-0.094107,0.935283,0.513452,0.857433,0.126753,0.641832,0.468073,0.877243,-0.162585,0.922579,0.47499,0.861677,0.074381,0.609707
0.519006,0.424679,-0.093853,0.999437,0.49508,0.443202,0.144112,0.988141,0.516546,0.354169,-0.070861,0.986926,0.48559,0.410536,0.259305,0.041408,0.505141,0.326931,0.114243,0.784074,0.488252,0.359289,0.29229,0.04522,0.504331,0.593723,-0.092463,0.999411,0.495538,0.595519,0.092393,0.9979,0.490235,0.723442,-0.115734,0.860529,0.493139,0.716408,0.10028,0.29206,0.499278,0.854777,-0.124783,0.929288,0.500623,0.831347,0.124318,0.499562,0.511788,0.876308,-0.127522,0.942842,0.510265,0.851796,0.125034,0.658532,0.467772,0.876415,-0.18949,0.932812,0.472778,0.861644,0.092684,0.639861
