left_shoulder_x,left_shoulder_y,left_shoulder_z,left_shoulder_vis,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_shoulder_vis,left_elbow_x,left_elbow_y,left_elbow_z,left_elbow_vis,right_elbow_x,right_elbow_y,right_elbow_z,right_elbow_vis,left_wrist_x,left_wrist_y,left_wrist_z,left_wrist_vis,right_wrist_x,right_wrist_y,right_wrist_z,right_wrist_vis,left_hip_x,left_hip_y,left_hip_z,left_hip_vis,right_hip_x,right_hip_y,right_hip_z,right_hip_vis,left_knee_x,left_knee_y,left_knee_z,left_knee_vis,right_knee_x,right_knee_y,right_knee_z,right_knee_vis,left_ankle_x,left_ankle_y,left_ankle_z,left_ankle_vis,right_ankle_x,right_ankle_y,right_ankle_z,right_ankle_vis,left_heel_x,left_heel_y,left_heel_z,left_heel_vis,right_heel_x,right_heel_y,right_heel_z,right_heel_vis,left_foot_index_x,left_foot_index_y,left_foot_index_z,left_foot_index_vis,right_foot_index_x,right_foot_index_y,right_foot_index_z,right_foot_index_vis
0.511368,0.324706,0.046017,0.993863,0.399782,0.297764,-0.113755,0.99803,0.514121,0.444507,0.175198,0.797275,0.34849,0.407784,-0.109956,0.940376,0.542738,0.538585,0.074327,0.727344,0.362585,0.504051,-0.242787,0.883122,0.462856,0.557453,0.065991,0.990972,0.398976,0.544242,-0.065825,0.990749,0.454841,0.73407,-0.026124,0.724451,0.444107,0.723182,-0.278775,0.850526,0.420998,0.91688,0.086377,0.550167,0.419506,0.923455,-0.166867,0.642419,0.405605,0.93895,0.08734,0.381319,0.408297,0.94577,-0.162636,0.374047,0.437051,0.994559,-0.064713,0.476671,0.43794,0.974882,-0.346161,0.550655
0.490098,0.359002,0.019564,0.995922,0.396242,0.336869,-0.247922,0.998704,0.490705,0.48161,0.091811,0.800071,0.368957,0.456102,-0.306402,0.959694,0.509791,0.582794,-0.024262,0.764355,0.391385,0.552249,-0.414187,0.918358,0.45359,0.564797,0.090786,0.993439,0.402121,0.55781,-0.090808,0.99374,0.443792,0.730971,0.077731,0.641964,0.444277,0.725513,-0.25454,0.874055,0.400271,0.897018,0.187538,0.559746,0.420907,0.923854,-0.225512,0.733122,0.380714,0.913111,0.192423,0.425394,0.406435,0.947011,-0.227721,0.492742,0.433787,0.954205,0.081234,0.527127,0.458141,0.980411,-0.41484,0.668729
0.461106,0.358316,0.08786,0.997053,0.395386,0.332512,-0.2994,0.999142,0.444681,0.473036,0.17221,0.700805,0.396675,0.45629,-0.353886,0.972141,0.483293,0.567164,0.042125,0.735632,0.467667,0.555274,-0.405428,0.941264,0.43577,0.574011,0.12099,0.994647,0.400041,0.569711,-0.121049,0.995547,0.430244,0.724384,0.204278,0.602772,0.418075,0.735233,-0.195429,0.902429,0.396396,0.892147,0.37615,0.599581,0.381453,0.912687,-0.136228,0.809659,0.386791,0.915826,0.38493,0.508928,0.364415,0.937034,-0.138529,0.618021,0.444575,0.93186,0.294433,0.611656,0.436801,0.956115,-0.285753,0.767253
0.449431,0.353536,0.143856,0.996756,0.394893,0.330391,-0.252985,0.999422,0.439866,0.463878,0.226842,0.477367,0.39553,0.452002,-0.367559,0.980254,0.476018,0.484448,0.086788,0.536426,0.482497,0.478662,-0.499305,0.956803,0.432704,0.57667,0.123087,0.992764,0.398315,0.571554,-0.123107,0.995836,0.426765,0.727318,0.170103,0.595395,0.401654,0.736973,-0.163514,0.926867,0.396448,0.890222,0.311431,0.663036,0.373139,0.913881,-0.078105,0.864968,0.38897,0.923971,0.316357,0.59635,0.357681,0.941416,-0.075579,0.71651,0.444441,0.9322,0.217412,0.696254,0.431828,0.953923,-0.212995,0.83714
0.436583,0.347644,0.162097,0.996873,0.392811,0.33121,-0.220365,0.9996,0.449546,0.448343,0.109835,0.35199,0.395338,0.44952,-0.296138,0.984281,0.484203,0.404957,-0.129555,0.485999,0.471316,0.409436,-0.283502,0.966393,0.425397,0.570157,0.120343,0.990949,0.39834,0.567241,-0.12038,0.994671,0.417186,0.723711,0.130457,0.569381,0.400615,0.730754,-0.137331,0.936758,0.394094,0.889601,0.210178,0.683567,0.378655,0.911263,-0.067362,0.890916,0.386617,0.924793,0.210639,0.624004,0.363995,0.942517,-0.066037,0.764781,0.443399,0.926836,0.120897,0.738226,0.433723,0.942027,-0.192495,0.874018
0.427763,0.3449,0.176591,0.996899,0.392614,0.334009,-0.186249,0.999699,0.449549,0.450141,0.134752,0.267987,0.397906,0.451029,-0.267349,0.9856,0.469212,0.390901,-0.04921,0.446576,0.460932,0.386926,-0.28816,0.971864,0.41797,0.56916,0.114518,0.991048,0.398053,0.566264,-0.114602,0.993877,0.414464,0.726211,0.091663,0.516105,0.402454,0.732413,-0.11372,0.933062,0.399867,0.899114,0.130655,0.668395,0.381304,0.911402,-0.064054,0.897653,0.390724,0.931876,0.128119,0.615729,0.36846,0.94464,-0.064469,0.785841,0.443253,0.927544,0.049134,0.750224,0.437842,0.942861,-0.173882,0.889363
0.427744,0.347842,0.141131,0.996853,0.388565,0.33692,-0.215933,0.999768,0.443339,0.449426,0.104848,0.225948,0.392647,0.45146,-0.305127,0.986884,0.47356,0.402513,-0.117288,0.45164,0.46265,0.414623,-0.314731,0.977322,0.418073,0.566057,0.11143,0.991475,0.39554,0.563472,-0.111517,0.993866,0.416431,0.719658,0.075786,0.487782,0.402445,0.722032,-0.172394,0.928376,0.405742,0.896267,0.138381,0.653247,0.383296,0.90581,-0.127582,0.901777,0.395284,0.931682,0.137225,0.606557,0.370634,0.942215,-0.128442,0.798507,0.443992,0.927777,0.044403,0.756013,0.436943,0.938722,-0.256458,0.899492
0.424136,0.351134,0.172734,0.996356,0.389271,0.337748,-0.222865,0.99982,0.420348,0.457991,0.240338,0.168086,0.392946,0.455917,-0.297292,0.989083,0.442696,0.511663,0.106878,0.353363,0.473304,0.4987,-0.401106,0.979871,0.416924,0.566848,0.118446,0.989643,0.394089,0.564182,-0.118452,0.992799,0.416994,0.71954,0.066715,0.468105,0.402274,0.723197,-0.177009,0.929397,0.408804,0.898244,0.119969,0.645444,0.38359,0.907496,-0.122961,0.910397,0.394553,0.931678,0.117024,0.615774,0.369799,0.941565,-0.123922,0.814832,0.445078,0.92741,0.023614,0.756689,0.438472,0.938836,-0.251149,0.910538
0.419953,0.349641,0.116003,0.997085,0.395829,0.339705,-0.288029,0.999859,0.415304,0.452114,0.212404,0.133264,0.406133,0.457989,-0.320189,0.990151,0.431036,0.538379,0.103975,0.29765,0.448072,0.553275,-0.347091,0.976897,0.411624,0.557821,0.117912,0.991801,0.393077,0.556198,-0.117914,0.994139,0.418369,0.717781,0.033391,0.450721,0.403454,0.720656,-0.194143,0.930957,0.39901,0.892345,0.072397,0.630161,0.382967,0.904359,-0.15259,0.920376,0.394943,0.932341,0.068725,0.611352,0.371255,0.939905,-0.155672,0.826471,0.444805,0.929092,-0.026465,0.75638,0.436288,0.936696,-0.284702,0.921734
0.413992,0.347556,0.119253,0.997699,0.399308,0.341097,-0.283217,0.999894,0.410551,0.452189,0.208928,0.11288,0.408115,0.460975,-0.321367,0.990873,0.426072,0.545382,0.110678,0.265357,0.436325,0.560304,-0.343741,0.975312,0.405637,0.558183,0.120683,0.993673,0.394273,0.555477,-0.12069,0.995497,0.41736,0.717651,0.055523,0.438383,0.40334,0.727751,-0.155473,0.94028,0.39451,0.891868,0.098202,0.611401,0.382795,0.908012,-0.132084,0.933492,0.38854,0.938187,0.095108,0.606573,0.368872,0.942777,-0.139077,0.84921,0.44428,0.929537,0.008004,0.755763,0.438011,0.938216,-0.259604,0.933514
