left_shoulder_x,left_shoulder_y,left_shoulder_z,left_shoulder_vis,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_shoulder_vis,left_elbow_x,left_elbow_y,left_elbow_z,left_elbow_vis,right_elbow_x,right_elbow_y,right_elbow_z,right_elbow_vis,left_wrist_x,left_wrist_y,left_wrist_z,left_wrist_vis,right_wrist_x,right_wrist_y,right_wrist_z,right_wrist_vis,left_hip_x,left_hip_y,left_hip_z,left_hip_vis,right_hip_x,right_hip_y,right_hip_z,right_hip_vis,left_knee_x,left_knee_y,left_knee_z,left_knee_vis,right_knee_x,right_knee_y,right_knee_z,right_knee_vis,left_ankle_x,left_ankle_y,left_ankle_z,left_ankle_vis,right_ankle_x,right_ankle_y,right_ankle_z,right_ankle_vis,left_heel_x,left_heel_y,left_heel_z,left_heel_vis,right_heel_x,right_heel_y,right_heel_z,right_heel_vis,left_foot_index_x,left_foot_index_y,left_foot_index_z,left_foot_index_vis,right_foot_index_x,right_foot_index_y,right_foot_index_z,right_foot_index_vis
0.557122,0.407076,-0.073832,0.999862,0.457694,0.426039,0.056091,0.996875,0.613423,0.455433,-0.002769,0.981573,0.432844,0.445665,0.272355,0.904763,0.598185,0.551901,0.013758,0.954142,0.42961,0.440316,0.37389,0.871571,0.555907,0.62786,-0.041065,0.998868,0.492534,0.640722,0.041197,0.998624,0.596266,0.768723,-0.059616,0.974151,0.486075,0.788879,0.052899,0.969612,0.626965,0.90481,0.042683,0.941457,0.504678,0.923189,0.184901,0.951347,0.630357,0.924033,0.0441,0.704745,0.515961,0.933031,0.186627,0.818684,0.630994,0.951516,-0.084264,0.908886,0.474114,0.971233,0.078145,0.928997
0.569825,0.397544,-0.096056,0.999853,0.469862,0.431086,0.008101,0.995824,0.624577,0.422607,-0.058787,0.984651,0.457723,0.523194,0.130652,0.825613,0.619729,0.489183,-0.152931,0.942552,0.445667,0.573443,0.086217,0.817401,0.556714,0.622276,-0.038007,0.998659,0.495556,0.636321,0.038108,0.998368,0.593875,0.763068,-0.067386,0.975722,0.48779,0.789764,0.014051,0.968547,0.620345,0.896623,0.083815,0.948332,0.502317,0.927866,0.152369,0.957562,0.6138,0.916491,0.08896,0.731438,0.513819,0.937116,0.157369,0.839307,0.637461,0.958223,-0.056385,0.91825,0.473054,0.977687,0.031279,0.937224
0.580961,0.406993,0.003041,0.999673,0.487676,0.428342,0.059605,0.997147,0.604773,0.456971,-0.205807,0.952928,0.480923,0.517266,0.036717,0.822058,0.579475,0.438289,-0.505154,0.835885,0.499179,0.611711,-0.095106,0.732804,0.566177,0.62798,-0.011721,0.998768,0.505947,0.634168,0.011848,0.998728,0.589198,0.769681,-0.03935,0.973901,0.497405,0.788368,0.007061,0.974802,0.600168,0.899658,0.078464,0.952868,0.491464,0.929932,0.140981,0.965972,0.591067,0.926811,0.082154,0.756441,0.500016,0.941805,0.144957,0.8541,0.627297,0.96232,-0.065851,0.925471,0.470613,0.976257,0.007251,0.945826
0.591742,0.412699,-0.014625,0.999481,0.501546,0.418491,0.040361,0.997726,0.596985,0.460334,-0.140011,0.955739,0.492525,0.511802,0.088649,0.757435,0.526799,0.419368,-0.308663,0.860826,0.513924,0.602803,0.045328,0.620351,0.576556,0.626013,-0.002285,0.999001,0.516689,0.625109,0.002423,0.998965,0.609453,0.762401,-0.098741,0.969852,0.493344,0.757394,-0.041993,0.977472,0.58674,0.900971,0.026923,0.941599,0.482574,0.906718,0.075479,0.964678,0.573253,0.924273,0.031924,0.744828,0.485147,0.921934,0.078175,0.825657,0.621995,0.956938,-0.104816,0.910736,0.458453,0.951382,-0.058734,0.937885
0.597702,0.42605,-0.062487,0.999182,0.504827,0.41037,-0.030758,0.998339,0.623016,0.478043,-0.209088,0.95817,0.454023,0.468616,0.002178,0.821278,0.572947,0.440363,-0.442572,0.880643,0.472499,0.521647,0.010906,0.694586,0.580271,0.636965,0.002865,0.999092,0.51714,0.634967,-0.002819,0.99911,0.616527,0.769432,-0.013884,0.973393,0.483841,0.773718,-0.034312,0.981472,0.588312,0.906211,0.144276,0.941191,0.461753,0.922004,0.080027,0.966242,0.579115,0.932962,0.15332,0.755343,0.466771,0.941432,0.08298,0.800405,0.625662,0.960286,0.024724,0.90857,0.442925,0.960331,-0.057189,0.933417
0.596999,0.437947,-0.053533,0.999197,0.497497,0.410769,-0.08049,0.99886,0.624302,0.521378,-0.136469,0.948728,0.424195,0.438504,-0.17429,0.875238,0.630457,0.503368,-0.349757,0.872497,0.428514,0.465595,-0.336915,0.742624,0.579117,0.648397,0.00587,0.99888,0.514261,0.647465,-0.00572,0.999146,0.610168,0.782802,0.022328,0.968631,0.47753,0.782809,-0.017319,0.979741,0.606156,0.911781,0.150875,0.927271,0.462096,0.926215,0.129076,0.960408,0.597483,0.932852,0.156575,0.741251,0.471746,0.942228,0.137291,0.784764,0.63331,0.961708,0.037304,0.890918,0.441903,0.96434,0.02154,0.91813
0.583543,0.432436,-0.013854,0.999385,0.483772,0.416666,0.0048,0.999127,0.599439,0.518529,-0.066956,0.940859,0.429911,0.439918,-0.158389,0.910528,0.630732,0.560692,-0.218441,0.896387,0.427648,0.347899,-0.422123,0.809036,0.561263,0.640891,-0.005708,0.998904,0.495897,0.642548,0.005743,0.999255,0.585441,0.780867,-0.056277,0.966441,0.46837,0.777828,-0.008258,0.980597,0.605318,0.913013,0.069748,0.924745,0.472457,0.916989,0.152699,0.958755,0.598791,0.933005,0.073531,0.71946,0.482899,0.930464,0.162082,0.788163,0.630884,0.963687,-0.070043,0.889886,0.459282,0.962587,0.037293,0.922147
0.570918,0.418729,-0.0964,0.999537,0.464642,0.419655,-0.039471,0.99881,0.626612,0.467179,-0.201647,0.958667,0.433108,0.472161,-0.175431,0.930059,0.620584,0.529533,-0.394019,0.923478,0.437038,0.391423,-0.439014,0.8679,0.541948,0.63594,-0.016366,0.998894,0.478876,0.635752,0.01642,0.999177,0.57226,0.775302,-0.06032,0.970559,0.463508,0.781792,0.031849,0.982421,0.593455,0.913042,0.031828,0.932218,0.467732,0.922287,0.169862,0.961287,0.585632,0.930284,0.03128,0.73233,0.476296,0.93639,0.175238,0.797698,0.617146,0.963266,-0.115917,0.894946,0.450096,0.960991,0.04839,0.924631
0.553235,0.411193,-0.000503,0.999615,0.452319,0.412991,-0.02073,0.998456,0.624796,0.432308,-0.028295,0.969111,0.425897,0.492051,0.044958,0.927324,0.621412,0.455843,-0.160467,0.930951,0.427822,0.520454,0.053584,0.871551,0.535041,0.632134,0.006608,0.998594,0.473201,0.635731,-0.006265,0.998739,0.578815,0.762711,-0.048642,0.975853,0.461937,0.788313,-0.039851,0.9834,0.585663,0.907052,0.072871,0.941697,0.461259,0.937873,0.073232,0.967864,0.569473,0.927865,0.075742,0.765801,0.468536,0.952423,0.074824,0.820932,0.623262,0.964273,-0.06184,0.906665,0.445272,0.974515,-0.070739,0.93489
0.53716,0.416439,0.031852,0.999736,0.431641,0.411264,-0.062877,0.998973,0.57436,0.484028,-0.043837,0.972841,0.381948,0.494247,-0.016116,0.94944,0.619658,0.43575,-0.306928,0.948485,0.406726,0.582624,-0.011768,0.898384,0.528207,0.632012,0.035021,0.999043,0.465216,0.641349,-0.0348,0.999105,0.595215,0.709802,-0.248009,0.979108,0.461982,0.791526,-0.053036,0.982032,0.582272,0.888721,-0.107982,0.942647,0.446943,0.937902,0.137755,0.950786,0.56583,0.910237,-0.09961,0.806423,0.449149,0.954876,0.150941,0.750005,0.618969,0.959956,-0.245652,0.911609,0.454462,0.97941,0.00575,0.907367
