left_shoulder_x,left_shoulder_y,left_shoulder_z,left_shoulder_vis,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_shoulder_vis,left_elbow_x,left_elbow_y,left_elbow_z,left_elbow_vis,right_elbow_x,right_elbow_y,right_elbow_z,right_elbow_vis,left_wrist_x,left_wrist_y,left_wrist_z,left_wrist_vis,right_wrist_x,right_wrist_y,right_wrist_z,right_wrist_vis,left_hip_x,left_hip_y,left_hip_z,left_hip_vis,right_hip_x,right_hip_y,right_hip_z,right_hip_vis,left_knee_x,left_knee_y,left_knee_z,left_knee_vis,right_knee_x,right_knee_y,right_knee_z,right_knee_vis,left_ankle_x,left_ankle_y,left_ankle_z,left_ankle_vis,right_ankle_x,right_ankle_y,right_ankle_z,right_ankle_vis,left_heel_x,left_heel_y,left_heel_z,left_heel_vis,right_heel_x,right_heel_y,right_heel_z,right_heel_vis,left_foot_index_x,left_foot_index_y,left_foot_index_z,left_foot_index_vis,right_foot_index_x,right_foot_index_y,right_foot_index_z,right_foot_index_vis
0.639311,0.317107,-0.078277,0.999626,0.537979,0.32192,-0.06922,0.999912,0.681687,0.406192,-0.231135,0.988401,0.500521,0.425394,-0.189417,0.986193,0.678798,0.314258,-0.472582,0.987284,0.492097,0.328243,-0.455114,0.99511,0.615053,0.547667,-0.007953,0.999573,0.553764,0.542174,0.007834,0.999751,0.639956,0.700393,0.024855,0.975817,0.52474,0.688745,0.009236,0.993252,0.64978,0.845466,0.146101,0.982864,0.510363,0.842782,0.157195,0.993368,0.640192,0.863615,0.150875,0.904514,0.517861,0.86164,0.165464,0.942445,0.684587,0.903284,0.02806,0.981047,0.481144,0.89535,0.052532,0.987784
0.639945,0.316594,-0.087224,0.999622,0.538277,0.321853,-0.069492,0.99991,0.682096,0.406456,-0.245071,0.988639,0.501183,0.425259,-0.191015,0.985855,0.679775,0.314013,-0.496302,0.987613,0.492416,0.327848,-0.469419,0.995112,0.615102,0.547497,-0.008206,0.999586,0.554128,0.542343,0.008088,0.999757,0.640045,0.7019,0.012605,0.976839,0.525364,0.688678,0.000249,0.993692,0.649359,0.847459,0.131197,0.983882,0.510432,0.843814,0.158423,0.993794,0.637572,0.865127,0.136241,0.909356,0.519119,0.8618,0.168024,0.944826,0.685402,0.905472,0.006014,0.982089,0.480554,0.896771,0.051868,0.988464
0.640179,0.316849,-0.097559,0.999618,0.538141,0.321805,-0.07838,0.999904,0.681189,0.407243,-0.269541,0.98905,0.501638,0.426447,-0.215934,0.985493,0.679854,0.314163,-0.516674,0.987768,0.492943,0.327804,-0.496157,0.995093,0.614538,0.548624,-0.011764,0.999592,0.552991,0.543265,0.011649,0.999765,0.639994,0.69905,-0.031248,0.976579,0.521537,0.686754,-0.042622,0.993737,0.648189,0.846967,0.131883,0.983495,0.51095,0.840688,0.138711,0.993534,0.637413,0.86348,0.141082,0.905721,0.520285,0.859348,0.152026,0.945201,0.684805,0.905839,0.013973,0.981489,0.480183,0.896894,0.038598,0.987963
0.640567,0.322251,-0.081313,0.999577,0.537545,0.325797,-0.074392,0.999899,0.678311,0.414808,-0.244027,0.988179,0.501987,0.430995,-0.209001,0.985451,0.679654,0.321975,-0.465401,0.987526,0.493055,0.330372,-0.455058,0.995039,0.614037,0.553347,-0.006653,0.999555,0.550997,0.548696,0.006536,0.999761,0.641891,0.698165,-0.01107,0.976084,0.51658,0.687831,-0.057972,0.993912,0.646087,0.842522,0.146964,0.982041,0.511808,0.839827,0.11409,0.992992,0.635577,0.858529,0.156288,0.897206,0.520456,0.857713,0.12632,0.940325,0.682389,0.902237,0.042783,0.979399,0.48326,0.895492,0.022279,0.986821
0.64157,0.352441,-0.051755,0.999587,0.537575,0.353546,-0.037648,0.9999,0.671508,0.455007,-0.209953,0.985784,0.503483,0.45773,-0.148703,0.985897,0.678669,0.355187,-0.440944,0.988687,0.494371,0.362756,-0.372307,0.99554,0.615944,0.573236,-0.00525,0.99955,0.549938,0.568788,0.005142,0.99977,0.65773,0.715061,-0.105229,0.978295,0.502826,0.704363,-0.188718,0.994809,0.649347,0.843789,0.058667,0.982165,0.511033,0.841559,0.029431,0.993138,0.636617,0.862608,0.087216,0.898164,0.520934,0.856185,0.046614,0.94126,0.682858,0.902548,-0.023791,0.978156,0.483895,0.896535,-0.060239,0.987177
0.641576,0.396975,-0.042598,0.999638,0.537171,0.395861,-0.032944,0.999891,0.669781,0.501823,-0.17876,0.986203,0.506276,0.506322,-0.139568,0.986821,0.677323,0.40367,-0.379726,0.990428,0.496019,0.415519,-0.346973,0.996079,0.615575,0.601808,-0.003799,0.999476,0.546673,0.598179,0.00372,0.999702,0.663685,0.726345,-0.162182,0.976364,0.490753,0.72291,-0.197335,0.993371,0.660182,0.8484,0.041722,0.96885,0.505879,0.843861,0.016391,0.987214,0.65007,0.86533,0.056402,0.852516,0.515555,0.855232,0.034264,0.916426,0.683721,0.902756,-0.044645,0.95563,0.480538,0.899381,-0.060316,0.976138
0.64032,0.440724,-0.034799,0.999701,0.537082,0.437697,-0.056631,0.999911,0.661822,0.545419,-0.167514,0.982945,0.505972,0.551432,-0.132156,0.988997,0.672775,0.461232,-0.366206,0.99015,0.496543,0.469362,-0.329265,0.996781,0.612041,0.62408,0.003793,0.999468,0.542517,0.619852,-0.003921,0.999689,0.676041,0.728473,-0.231627,0.974211,0.490552,0.728275,-0.229203,0.990913,0.664016,0.851781,-0.030474,0.954469,0.498507,0.852756,-0.032732,0.982428,0.650332,0.868946,-0.014677,0.83603,0.507315,0.864461,-0.016458,0.899182,0.689659,0.906354,-0.106749,0.93571,0.476491,0.902417,-0.11612,0.967524
0.636676,0.485279,-0.134338,0.999782,0.534125,0.484686,-0.132868,0.99993,0.660417,0.590442,-0.283785,0.983363,0.505765,0.596511,-0.239526,0.989673,0.671808,0.508584,-0.527495,0.990134,0.496517,0.524136,-0.45841,0.996809,0.609652,0.64796,0.005165,0.999538,0.540882,0.641687,-0.005233,0.999727,0.681876,0.724257,-0.280722,0.976495,0.488843,0.728557,-0.30636,0.990009,0.665309,0.841324,0.00167,0.953732,0.496991,0.847674,-0.032221,0.98428,0.652285,0.858544,0.023384,0.862221,0.506264,0.861418,-0.009165,0.909378,0.689251,0.901692,-0.076582,0.934952,0.475285,0.901137,-0.122019,0.969301
0.633322,0.522731,-0.209809,0.999834,0.53351,0.520001,-0.223687,0.999942,0.661021,0.626322,-0.367239,0.984125,0.505011,0.630159,-0.337456,0.99067,0.672941,0.550056,-0.640246,0.990226,0.497135,0.569038,-0.57817,0.997064,0.608564,0.669341,0.006788,0.999611,0.540632,0.662712,-0.006764,0.999771,0.686262,0.72561,-0.286279,0.97762,0.489204,0.718821,-0.339235,0.989484,0.665675,0.8446,-0.032408,0.954699,0.496946,0.846477,-0.073378,0.986882,0.651057,0.86415,-0.01394,0.885007,0.50595,0.860845,-0.052404,0.925337,0.690796,0.905576,-0.121673,0.934769,0.474908,0.900245,-0.17631,0.973077
0.632763,0.541148,-0.265225,0.999887,0.533156,0.539575,-0.265227,0.99996,0.659087,0.642369,-0.423793,0.987007,0.504083,0.646768,-0.394845,0.992796,0.672933,0.57689,-0.689882,0.991971,0.496641,0.591814,-0.649301,0.997604,0.608532,0.677769,0.005194,0.999691,0.543006,0.672369,-0.005138,0.999808,0.679274,0.72779,-0.305148,0.979257,0.489001,0.725469,-0.33708,0.987676,0.665599,0.847174,-0.034146,0.957459,0.496886,0.845841,-0.054587,0.987745,0.650372,0.866431,-0.011598,0.900369,0.505321,0.861689,-0.030029,0.931928,0.690205,0.907163,-0.132906,0.935783,0.475,0.899822,-0.165887,0.97314
0.632576,0.534671,-0.229332,0.999922,0.533191,0.536156,-0.236653,0.999972,0.658203,0.63687,-0.368709,0.987766,0.505073,0.641,-0.319069,0.994154,0.672649,0.569381,-0.627386,0.992366,0.496603,0.58633,-0.522192,0.997964,0.608845,0.676147,0.004263,0.999747,0.54466,0.671698,-0.004181,0.999838,0.675506,0.727149,-0.298523,0.98213,0.489517,0.723881,-0.321775,0.988645,0.664032,0.846959,-0.072415,0.964003,0.496727,0.846998,-0.084296,0.989763,0.648873,0.866777,-0.05656,0.918573,0.505283,0.86335,-0.066356,0.941621,0.690217,0.90795,-0.171252,0.944259,0.475125,0.899712,-0.189933,0.976351
0.631876,0.498395,-0.189678,0.999941,0.53229,0.495408,-0.188746,0.999978,0.658997,0.603364,-0.376824,0.988932,0.502325,0.609218,-0.312031,0.99448,0.6713,0.520964,-0.664209,0.992489,0.496603,0.541781,-0.55372,0.997965,0.606936,0.650261,0.00432,0.999743,0.538984,0.646108,-0.004244,0.999838,0.674297,0.721069,-0.302428,0.982272,0.488327,0.717446,-0.338336,0.988846,0.664454,0.847693,-0.086061,0.966629,0.496361,0.84742,-0.107049,0.990702,0.650436,0.866328,-0.071684,0.925329,0.505288,0.863746,-0.089917,0.948157,0.691091,0.907725,-0.195762,0.945967,0.474508,0.900015,-0.218989,0.977813
0.63334,0.439195,-0.018255,0.999943,0.532571,0.4322,-0.028957,0.999975,0.658207,0.552567,-0.13495,0.985663,0.500514,0.545644,-0.104257,0.993324,0.666479,0.457586,-0.312817,0.991511,0.494249,0.462747,-0.247563,0.997821,0.60427,0.615889,0.004198,0.999727,0.537289,0.611064,-0.004195,0.999819,0.668331,0.715046,-0.230036,0.981995,0.486753,0.717853,-0.250256,0.988454,0.662865,0.850953,-0.031447,0.965596,0.496499,0.843866,-0.040461,0.990026,0.649278,0.867964,-0.01518,0.921401,0.505755,0.858494,-0.022419,0.941738,0.691097,0.90839,-0.108277,0.945951,0.475495,0.902725,-0.121388,0.976673
0.636125,0.388335,-0.021209,0.999887,0.534673,0.378929,-0.017954,0.999967,0.658605,0.490551,-0.159925,0.982553,0.503094,0.485425,-0.126428,0.990013,0.667855,0.398926,-0.35636,0.99006,0.493717,0.396056,-0.321138,0.997267,0.604517,0.588668,0.00053,0.99958,0.537469,0.581924,-0.000675,0.99976,0.656894,0.717007,-0.126251,0.978201,0.494373,0.714707,-0.187346,0.988974,0.660275,0.853905,0.006878,0.966293,0.49775,0.849204,-0.029647,0.989352,0.648555,0.872358,0.01517,0.902866,0.505574,0.864163,-0.018623,0.930562,0.690565,0.909892,-0.081424,0.946736,0.475861,0.904776,-0.113518,0.975768
0.637418,0.338715,-0.045357,0.999833,0.533426,0.337659,-0.039839,0.999957,0.660373,0.440591,-0.184753,0.982318,0.501517,0.446094,-0.167329,0.987823,0.669264,0.345029,-0.439175,0.990052,0.49287,0.348791,-0.412161,0.996666,0.607506,0.570753,-0.000142,0.999556,0.541097,0.565598,1.7e-05,0.999759,0.649306,0.71489,-0.014082,0.979644,0.504113,0.712388,-0.073921,0.991159,0.655078,0.848136,0.135482,0.971348,0.49962,0.849755,0.078014,0.990343,0.641466,0.868853,0.144424,0.897448,0.5074,0.865918,0.088388,0.925224,0.685999,0.90368,0.040101,0.95486,0.478178,0.903219,-0.011202,0.978221
0.637844,0.31867,-0.072916,0.999748,0.533589,0.321103,-0.05358,0.999931,0.66013,0.425156,-0.239556,0.982085,0.500191,0.434042,-0.187856,0.984182,0.671029,0.328227,-0.49421,0.989657,0.493325,0.330407,-0.456381,0.995573,0.609864,0.558427,-0.005187,0.999557,0.546188,0.553877,0.005063,0.999768,0.640427,0.71427,0.014858,0.982435,0.514832,0.708811,-0.013248,0.993047,0.651712,0.846005,0.201267,0.977161,0.505414,0.850496,0.16834,0.992146,0.640084,0.865116,0.213029,0.904929,0.514607,0.868944,0.180458,0.933965,0.683559,0.903717,0.09257,0.964973,0.477957,0.901098,0.06597,0.982559
0.637588,0.316746,-0.038284,0.999755,0.535109,0.319037,-0.014542,0.999924,0.659738,0.423762,-0.184627,0.982349,0.500794,0.428204,-0.127153,0.980623,0.672637,0.326164,-0.424862,0.990181,0.494844,0.326958,-0.387972,0.99474,0.611761,0.548098,-0.00907,0.999572,0.549666,0.544837,0.008954,0.999777,0.639234,0.705202,0.01053,0.982473,0.517712,0.700621,-0.021146,0.993756,0.649203,0.845509,0.15842,0.980035,0.507452,0.851543,0.136638,0.993092,0.639508,0.864161,0.161549,0.903664,0.516847,0.869093,0.155587,0.940024,0.68285,0.903974,0.036804,0.971145,0.477402,0.901748,0.04875,0.985325
0.637638,0.317658,-0.020602,0.999781,0.537101,0.321194,0.008769,0.999921,0.659386,0.423733,-0.172304,0.981826,0.505528,0.429381,-0.107779,0.977434,0.672723,0.326933,-0.427132,0.990642,0.497528,0.333336,-0.379327,0.994524,0.613324,0.542504,-0.010892,0.999572,0.551754,0.538871,0.010758,0.99977,0.639026,0.702435,-0.012556,0.977802,0.521398,0.693451,-0.031291,0.99277,0.65006,0.84792,0.129984,0.977406,0.508435,0.853196,0.134756,0.991867,0.640966,0.866037,0.13712,0.885284,0.517275,0.867873,0.144074,0.932864,0.683449,0.907241,0.012465,0.970369,0.478502,0.902049,0.007323,0.983798
0.637899,0.319192,-0.022712,0.999802,0.537561,0.32191,0.000823,0.999913,0.659552,0.424446,-0.170001,0.981277,0.508009,0.430969,-0.115349,0.973975,0.672544,0.327475,-0.412068,0.9907,0.499859,0.335384,-0.380304,0.993765,0.613463,0.543893,-0.008957,0.999584,0.552149,0.540128,0.008854,0.999758,0.640528,0.702914,-0.023403,0.976283,0.520635,0.694101,-0.042987,0.992522,0.647087,0.850101,0.107801,0.977408,0.509051,0.853406,0.121595,0.991427,0.636011,0.867748,0.113489,0.88091,0.51892,0.867557,0.131978,0.930149,0.683845,0.910842,-0.015405,0.971677,0.479019,0.903338,0.008993,0.983388
0.638545,0.319576,-0.022577,0.999831,0.538159,0.321991,0.004312,0.999909,0.660047,0.42493,-0.170765,0.982664,0.508477,0.430625,-0.114919,0.970475,0.673173,0.327916,-0.427427,0.991484,0.500301,0.334459,-0.394038,0.993084,0.613578,0.544376,-0.008635,0.999628,0.552197,0.540666,0.008531,0.999767,0.640971,0.706014,-0.024209,0.980125,0.520456,0.695627,-0.036832,0.993515,0.649655,0.852847,0.135813,0.981201,0.509823,0.853757,0.135462,0.992551,0.637697,0.86903,0.144512,0.89091,0.519281,0.86754,0.146063,0.935797,0.683851,0.91181,0.010355,0.976336,0.478867,0.903539,0.020831,0.985536
0.638949,0.319491,-0.02306,0.999847,0.53899,0.322015,0.007061,0.999907,0.660195,0.424947,-0.167679,0.983199,0.508796,0.431028,-0.107649,0.968651,0.673348,0.327177,-0.405163,0.992054,0.500653,0.334341,-0.370218,0.993012,0.613749,0.544095,-0.008445,0.999646,0.552238,0.540814,0.008341,0.99977,0.641201,0.706161,-0.01538,0.98113,0.520479,0.695894,-0.041351,0.993735,0.650401,0.850945,0.142193,0.981961,0.510238,0.853156,0.119982,0.992728,0.638352,0.866518,0.151229,0.889546,0.519431,0.86657,0.129802,0.936117,0.68443,0.911573,0.024915,0.977528,0.478956,0.903385,0.009661,0.985992
0.639153,0.319392,-0.02972,0.99985,0.539398,0.322055,-0.009854,0.999907,0.660425,0.424902,-0.179563,0.983586,0.508972,0.431136,-0.128926,0.967692,0.674193,0.327221,-0.438659,0.992313,0.500901,0.335349,-0.406414,0.992903,0.613863,0.544958,-0.007683,0.999644,0.552575,0.541083,0.00758,0.999771,0.640227,0.704423,-0.005077,0.982121,0.52085,0.695422,-0.034233,0.994132,0.650713,0.850592,0.133547,0.983648,0.511087,0.851536,0.12914,0.993323,0.639019,0.867748,0.139995,0.897231,0.520228,0.865746,0.139442,0.939362,0.684422,0.911232,0.008257,0.979886,0.479471,0.902481,0.01636,0.987141
0.6392,0.319371,-0.019708,0.999862,0.539879,0.322075,0.016611,0.99991,0.660575,0.424828,-0.172667,0.98441,0.50904,0.431307,-0.097283,0.966986,0.674255,0.327258,-0.432265,0.992863,0.501076,0.335887,-0.374645,0.993029,0.613825,0.543549,-0.008958,0.999663,0.552825,0.540131,0.008851,0.999787,0.639022,0.703649,-0.013476,0.983354,0.521026,0.693956,-0.040051,0.994616,0.651473,0.85056,0.129188,0.985306,0.511509,0.850926,0.118158,0.994043,0.640062,0.86822,0.13615,0.904802,0.520377,0.865986,0.127352,0.94443,0.685622,0.910902,0.00026,0.982038,0.478973,0.90229,-0.000896,0.988452
0.639265,0.319498,-0.018649,0.999873,0.539924,0.322193,0.012687,0.999913,0.660716,0.42451,-0.168575,0.985287,0.509021,0.431256,-0.103091,0.967386,0.674679,0.327272,-0.425821,0.993341,0.500989,0.335714,-0.378237,0.993154,0.613829,0.543047,-0.008949,0.999677,0.55298,0.539631,0.008846,0.999796,0.638928,0.703873,-0.014246,0.984062,0.521046,0.693183,-0.04193,0.994902,0.650928,0.850212,0.128573,0.986198,0.511399,0.851331,0.114898,0.994417,0.639538,0.867369,0.135255,0.909383,0.52033,0.866241,0.123684,0.946414,0.685167,0.910816,-0.000628,0.983239,0.478933,0.902324,-0.003095,0.989095
0.63926,0.318986,-0.016228,0.999878,0.540007,0.322042,0.015158,0.999914,0.66078,0.424455,-0.165796,0.985721,0.50895,0.431085,-0.097661,0.967251,0.675048,0.327198,-0.419944,0.993564,0.500925,0.335636,-0.371342,0.993213,0.61382,0.542839,-0.009131,0.999685,0.553044,0.539249,0.00903,0.9998,0.63929,0.703624,-0.020752,0.984821,0.521149,0.693493,-0.036023,0.995103,0.651033,0.850252,0.108219,0.987035,0.511506,0.851192,0.115248,0.994724,0.639782,0.867532,0.113406,0.913032,0.520452,0.866274,0.123999,0.948709,0.684945,0.910752,-0.021772,0.98429,0.478739,0.90236,7e-05,0.989653
0.639375,0.318932,-0.022301,0.999884,0.539987,0.322039,0.000475,0.999912,0.660855,0.4243,-0.168671,0.986305,0.509001,0.431144,-0.114938,0.967431,0.675477,0.327682,-0.422802,0.994063,0.501083,0.335547,-0.390673,0.993313,0.613948,0.543145,-0.008045,0.999688,0.553073,0.539366,0.007947,0.999799,0.63993,0.703716,-0.00933,0.984964,0.521078,0.693725,-0.039927,0.995119,0.649712,0.850125,0.124313,0.98728,0.511729,0.850962,0.113495,0.994757,0.638544,0.867604,0.130037,0.91494,0.520516,0.86585,0.122889,0.948771,0.684479,0.910543,-0.00354,0.984662,0.478978,0.902455,-0.001567,0.989708
0.639573,0.318917,-0.025099,0.999884,0.540031,0.322019,-0.001006,0.999912,0.660977,0.424322,-0.17113,0.986031,0.509027,0.431132,-0.114899,0.967073,0.675821,0.327753,-0.422703,0.994004,0.501086,0.33551,-0.382761,0.993175,0.614035,0.543434,-0.007571,0.999686,0.55311,0.53953,0.007472,0.999799,0.640033,0.703534,-0.004679,0.984791,0.52114,0.693192,-0.035231,0.995169,0.650118,0.850109,0.131874,0.987362,0.511438,0.851046,0.115715,0.994825,0.638823,0.867385,0.137389,0.915789,0.520317,0.865934,0.124284,0.94815,0.684408,0.910387,0.005074,0.984805,0.479091,0.902637,0.000233,0.989818
